source,target,weight,source_name,target_name,edge_type
Cap.371,Cap.9,1,Banking Act,Criminal Code,CROSS_REFERENCE
Cap.372,Cap.12,2,Income Tax Management Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.372,Cap.123,75,Income Tax Management Act,Income Tax Act,CROSS_REFERENCE
Cap.372,Cap.281,4,Income Tax Management Act,Accountancy Profession Act,CROSS_REFERENCE
Cap.372,Cap.318,2,Income Tax Management Act,Social Security Act,CROSS_REFERENCE
Cap.372,Cap.325,1,Income Tax Management Act,Business Promotion Act,CROSS_REFERENCE
Cap.372,Cap.330,1,Income Tax Management Act,Malta Financial Services Authority Act,CROSS_REFERENCE
Cap.372,Cap.331,3,Income Tax Management Act,Trusts and Trustees Act,CROSS_REFERENCE
Cap.372,Cap.345,1,Income Tax Management Act,Financial Markets Act,CROSS_REFERENCE
Cap.372,Cap.364,4,Income Tax Management Act,Duty on Documents and Transfers Act,CROSS_REFERENCE
Cap.372,Cap.370,4,Income Tax Management Act,Investment Services Act,CROSS_REFERENCE
Cap.372,Cap.371,1,Income Tax Management Act,Banking Act,CROSS_REFERENCE
Cap.372,Cap.377,2,Income Tax Management Act,Professional Secrecy Act,CROSS_REFERENCE
Cap.372,Cap.386,9,Income Tax Management Act,Companies Act,CROSS_REFERENCE
Cap.372,Cap.403,1,Income Tax Management Act,Insurance Business Act,CROSS_REFERENCE
Cap.372,Cap.406,1,Income Tax Management Act,Value Added Tax Act,CROSS_REFERENCE
Cap.372,Cap.446,1,Income Tax Management Act,Probation Act,CROSS_REFERENCE
Cap.372,Cap.487,1,Income Tax Management Act,Insurance Distribution Act,CROSS_REFERENCE
Cap.372,Cap.490,3,Income Tax Management Act,Administrative Justice Act,CROSS_REFERENCE
Cap.372,Cap.55,1,Income Tax Management Act,Notarial Profession and Notarial Archives Act,CROSS_REFERENCE
Cap.372,Cap.586,2,Income Tax Management Act,Data Protection Act,CROSS_REFERENCE
Cap.372,Cap.9,1,Income Tax Management Act,Criminal Code,CROSS_REFERENCE
Cap.373,Cap.101,7,Prevention of Money Laundering Act,Dangerous Drugs Ordinance,CROSS_REFERENCE
Cap.373,Cap.12,7,Prevention of Money Laundering Act,Code of Organization and Civil Procedure,CROSS_REFERENCE
Cap.373,Cap.31,2,Prevention of Money Laundering Act,Medical and Kindred Professions Ordinance,CROSS_REFERENCE
Cap.373,Cap.377,1,Prevention of Money Laundering Act,Professional Secrecy Act,CROSS_REFERENCE
Cap.373,Cap.9,10,Prevention of Money Laundering Act,Criminal Code,CROSS_REFERENCE
Cap.376,Cap.13,1,Financial Institutions Act,Commercial Code,CROSS_REFERENCE
